api_name,date,reliability_score
SpaceX,2026-05-11,83.33
StackExchange,2026-05-11,97.92
CoinGecko,2026-05-10,95.83
GitHub,2026-05-10,100.0
JSONPlaceholder,2026-05-10,100.0
OpenLibrary,2026-05-10,100.0
SpaceX,2026-05-10,97.92
StackExchange,2026-05-10,100.0
CoinGecko,2026-05-09,91.67
GitHub,2026-05-09,100.0
JSONPlaceholder,2026-05-09,100.0
OpenLibrary,2026-05-09,97.92
SpaceX,2026-05-09,100.0
StackExchange,2026-05-09,100.0
CoinGecko,2026-05-08,93.75
GitHub,2026-05-08,100.0
JSONPlaceholder,2026-05-08,100.0
OpenLibrary,2026-05-08,93.75
SpaceX,2026-05-08,97.92
StackExchange,2026-05-08,97.92
CoinGecko,2026-05-07,93.75
GitHub,2026-05-07,100.0
JSONPlaceholder,2026-05-07,100.0
OpenLibrary,2026-05-07,97.92
SpaceX,2026-05-07,100.0
StackExchange,2026-05-07,100.0
CoinGecko,2026-05-06,97.92
GitHub,2026-05-06,100.0
JSONPlaceholder,2026-05-06,100.0
OpenLibrary,2026-05-06,100.0
SpaceX,2026-05-06,97.92
StackExchange,2026-05-06,100.0
